id,run,cached,step,type,request_id,ip_addr,full_url,url,documentURL,is_secure,method,host,frame_id,responseCode,request_type,load_ms,ttfb_ms,load_start,load_start_float,bytesIn,objectSize,objectSizeUncompressed,expires,cacheControl,contentType,contentEncoding,socket,protocol,dns_start,dns_end,connect_start,connect_end,ssl_start,ssl_end,initiator,initiator_line,initiator_column,initiator_function,initiator_type,priority,initial_priority,bytesOut,score_cache,score_cdn,score_gzip,score_cookies,score_keep-alive,score_compress,dns_ms,connect_ms,ssl_ms,gzip_total,gzip_save,image_total,image_save,cache_time,cdn_provider,created,netlog_id,final_base_page,is_base_page,load_end,ttfb_start,ttfb_end,download_start,download_end,download_ms,all_start,all_end,all_ms,index,number,cpu.EvaluateScript,cpu.v8.compile,cpu.FunctionCall,cpuTime,renderBlocking,socket_group,http2_stream_id,http2_stream_dependency,http2_stream_weight,http2_stream_exclusive,tls_version,tls_resumed,tls_next_proto,tls_cipher_suite,server_port,
875313,1,0,Step_1,3,D579C57115B90461C56E3D6041CA190B,185.199.110.153,https://gitechnolo.github.io/biotechproject/index.html,/biotechproject/index.html,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Document,475.00,429.00,"1,262.00","1,262.00",8610,8610,29343,"Fri, 03 Apr 2026 20:41:05 GMT",max-age=600,text/html,gzip,149,HTTP/2,1.00,308.00,308.00,910.00,910.00,"1,261.00",https://gitechnolo.github.io/biotechproject/index.html,,,,script,Highest,Highest,2218,-1,100,100,0,100,-1,307.00,602.00,351.00,8610,0,,,,Fastly,8,142,1,1,"1,737.00","1,262.00","1,691.00","1,691.00","1,737.00",46.00,1.00,"1,737.00","1,735.00",0,1,1,0,4,5.00,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,1,0,256,1,TLS 1.3,False,h2,4865,443,
875313,1,0,Step_1,3,25512.2,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/SansationBold.woff2,/biotechproject/Biotech-file/SansationBold.woff2,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Font,526.00,422.00,"1,722.00","1,722.00",18696,18696,18696,"Fri, 03 Apr 2026 20:41:06 GMT",max-age=600,font/woff2,,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,High,High,2083,0,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,600.00,Fastly,1718,166,0,0,"2,248.00","1,722.00","2,144.00","2,144.00","2,248.00",104.00,"1,722.00","2,248.00",526.00,1,2,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,3,1,220,1,,,,,443,
875313,1,0,Step_1,3,25512.3,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/images/biotechlogo.avif,/biotechproject/Biotech-file/images/biotechlogo.avif,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Image,606.00,526.00,"1,722.00","1,722.00",13970,13970,13970,"Fri, 03 Apr 2026 20:41:06 GMT",max-age=600,image/avif,,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,High,High,2179,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,13970,600.00,Fastly,1719,172,0,0,"2,328.00","1,722.00","2,248.00","2,248.00","2,328.00",80.00,"1,722.00","2,328.00",606.00,2,3,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,5,3,220,1,,,,,443,
875313,1,0,Step_1,3,25512.6,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.css,/biotechproject/Biotech-file/biotech.min.css,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Stylesheet,739.00,599.00,"1,730.00","1,730.00",8274,8274,37019,"Fri, 03 Apr 2026 20:41:06 GMT",max-age=600,text/css,gzip,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,Lowest,Lowest,2008,0,100,100,0,100,-1,-1.00,-1.00,-1.00,8274,0,,,600.00,Fastly,1729,190,0,0,"2,469.00","1,730.00","2,329.00","2,329.00","2,469.00",140.00,"1,730.00","2,469.00",739.00,3,4,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,7,13,110,1,,,,,443,
875313,1,0,Step_1,3,25512.12,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/images/background.avif,/biotechproject/Biotech-file/images/background.avif,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Image,"1,329.00",731.00,"1,738.00","1,738.00",70573,70573,70573,"Fri, 03 Apr 2026 20:41:06 GMT",max-age=600,image/avif,,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,High,Low,2161,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,70573,600.00,Fastly,1737,196,0,0,"3,067.00","1,738.00","2,469.00","2,469.00","3,067.00",598.00,"1,738.00","3,067.00","1,329.00",4,5,,,,,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,9,5,147,1,,,,,443,
875313,1,0,Step_1,3,25512.16,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.js,/biotechproject/Biotech-file/biotech.min.js,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Script,"1,225.00",655.00,"1,828.00","1,828.00",8925,8925,27950,"Fri, 03 Apr 2026 20:41:06 GMT",max-age=600,application/javascript,gzip,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,Low,Low,1912,0,100,100,0,100,-1,-1.00,-1.00,-1.00,8925,0,,,600.00,Fastly,1821,202,0,0,"3,053.00","1,828.00","2,483.00","2,483.00","3,053.00",570.00,"1,828.00","3,053.00","1,225.00",5,6,4,1,433,438.00,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,11,9,147,1,,,,,443,
875313,1,0,Step_1,3,25512.17,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech-engine.min.js,/biotechproject/Biotech-file/biotech-engine.min.js,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Script,"1,226.00",656.00,"1,828.00","1,828.00",10561,10561,27676,"Fri, 03 Apr 2026 20:41:06 GMT",max-age=600,application/javascript,gzip,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,Low,Low,1933,0,100,100,0,100,-1,-1.00,-1.00,-1.00,10561,0,,,600.00,Fastly,1824,208,0,0,"3,054.00","1,828.00","2,484.00","2,484.00","3,054.00",570.00,"1,828.00","3,054.00","1,226.00",6,7,3,1,63,67.00,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,13,11,147,1,,,,,443,
875313,1,0,Step_1,3,25512.8,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/images/Biotech-menu/Singapore_boscoartificiale-Metropoli.avif,/biotechproject/Biotech-file/images/Biotech-menu/Singapore_boscoartificiale-Metropoli.avif,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Image,"1,050.00",555.00,"1,929.00","1,929.00",15923,15923,15923,"Fri, 03 Apr 2026 20:41:06 GMT",max-age=600,image/avif,,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,High,Low,2278,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,15923,600.00,Fastly,1926,214,0,0,"2,979.00","1,929.00","2,484.00","2,484.00","2,979.00",495.00,"1,929.00","2,979.00","1,050.00",7,8,,,,,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,15,9,220,1,,,,,443,
875313,1,0,Step_1,3,25512.20,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/SansationRegular.woff2,/biotechproject/Biotech-file/SansationRegular.woff2,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Font,452.00,420.00,"2,675.00","2,675.00",6072,6072,6072,"Fri, 03 Apr 2026 20:41:07 GMT",max-age=600,font/woff2,,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.css,,,,parser,Highest,Highest,2146,0,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,600.00,Fastly,2674,235,0,0,"3,127.00","2,675.00","3,095.00","3,095.00","3,127.00",32.00,"2,675.00","3,127.00",452.00,8,9,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,17,0,256,1,,,,,443,
875313,1,0,Step_1,3,25512.24,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/SansationLightItalic.woff2,/biotechproject/Biotech-file/SansationLightItalic.woff2,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Font,551.00,456.00,"2,679.00","2,679.00",19496,19496,19496,"Fri, 03 Apr 2026 20:41:07 GMT",max-age=600,font/woff2,,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.css,,,,parser,Highest,Highest,2158,0,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,600.00,Fastly,2677,241,0,0,"3,230.00","2,679.00","3,135.00","3,135.00","3,230.00",95.00,"2,679.00","3,230.00",551.00,9,10,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,19,17,256,1,,,,,443,
875313,1,0,Step_1,3,25512.28,185.199.110.153,https://gitechnolo.github.io/biotechproject/lang/common.json,/biotechproject/lang/common.json,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Fetch,420.00,415.00,"3,101.00","3,101.00",1077,1077,2909,"Fri, 03 Apr 2026 20:41:07 GMT",max-age=600,application/json,gzip,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.js,37,57,loadTranslation,script,High,High,1927,0,100,100,0,100,-1,-1.00,-1.00,-1.00,1077,0,,,600.00,Fastly,3099,249,0,0,"3,521.00","3,101.00","3,516.00","3,516.00","3,521.00",5.00,"3,101.00","3,521.00",420.00,10,11,,,,,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,21,19,220,1,,,,,443,
875313,1,0,Step_1,3,25512.29,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/images/background_night.avif,/biotechproject/Biotech-file/images/background_night.avif,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Image,785.00,419.00,"3,128.00","3,128.00",69859,69859,69859,"Fri, 03 Apr 2026 20:41:07 GMT",max-age=600,image/avif,,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.css,,,,parser,High,Low,2233,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,69859,600.00,Fastly,3105,255,0,0,"3,913.00","3,128.00","3,547.00","3,547.00","3,913.00",366.00,"3,128.00","3,913.00",785.00,11,12,,,,,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,23,21,147,1,,,,,443,
875313,1,0,Step_1,3,25512.30,185.199.110.153,https://gitechnolo.github.io/biotechproject/lang/home.json,/biotechproject/lang/home.json,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Fetch,451.00,422.00,"3,527.00","3,527.00",5530,5530,13539,"Fri, 03 Apr 2026 20:41:07 GMT",max-age=600,application/json,gzip,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.js,37,57,loadTranslation,script,High,High,1921,0,100,100,0,100,-1,-1.00,-1.00,-1.00,5530,0,,,600.00,Fastly,3525,261,0,0,"3,978.00","3,527.00","3,949.00","3,949.00","3,978.00",29.00,"3,527.00","3,978.00",451.00,12,13,,,,,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,25,23,220,1,,,,,443,
875313,1,0,Step_1,3,25512.31,185.199.110.153,https://gitechnolo.github.io/biotechproject/Biotech-file/images/favicon-biotech.png,/biotechproject/Biotech-file/images/favicon-biotech.png,,1,GET,gitechnolo.github.io,745B8A4DD3BFF997CD6BEDC194B0F8FD,200,Other,448.00,418.00,"3,923.00","3,923.00",5554,5554,5554,"Fri, 03 Apr 2026 20:41:08 GMT",max-age=600,image/png,,149,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,,,,,other,High,High,2188,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,5554,600.00,Fastly,3920,267,0,0,"4,371.00","3,923.00","4,341.00","4,341.00","4,371.00",30.00,"3,923.00","4,371.00",448.00,13,14,,,,,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,27,25,220,1,,,,,443,
875313,2,0,Step_1,3,1473DE56649493FC7F24F9465372AA7E,185.199.111.153,https://gitechnolo.github.io/biotechproject/index.html,/biotechproject/index.html,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Document,360.00,314.00,966.00,966.00,8610,8610,29343,"Fri, 03 Apr 2026 20:32:31 GMT",max-age=600,text/html,gzip,147,HTTP/2,0.00,312.00,312.00,615.00,615.00,965.00,https://gitechnolo.github.io/biotechproject/index.html,,,,script,Highest,Highest,2218,-1,100,100,0,100,-1,312.00,303.00,350.00,8610,0,,,,Fastly,10,140,1,1,"1,326.00",966.00,"1,280.00","1,280.00","1,326.00",46.00,0.00,"1,326.00","1,325.00",0,1,1,1,3,5.00,,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,1,0,256,1,TLS 1.3,False,h2,4865,443,
875313,2,0,Step_1,3,26266.2,185.199.111.153,https://gitechnolo.github.io/biotechproject/Biotech-file/SansationBold.woff2,/biotechproject/Biotech-file/SansationBold.woff2,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Font,413.00,308.00,"1,313.00","1,313.00",18696,18696,18696,"Fri, 03 Apr 2026 20:32:21 GMT",max-age=600,font/woff2,,147,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,High,High,2083,0,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,567.00,Fastly,1310,169,0,0,"1,726.00","1,313.00","1,621.00","1,621.00","1,726.00",105.00,"1,313.00","1,726.00",413.00,1,2,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,3,1,220,1,,,,,443,
875313,2,0,Step_1,3,26266.3,185.199.111.153,https://gitechnolo.github.io/biotechproject/Biotech-file/images/biotechlogo.avif,/biotechproject/Biotech-file/images/biotechlogo.avif,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Image,493.00,428.00,"1,313.00","1,313.00",13970,13970,13970,"Fri, 03 Apr 2026 20:32:21 GMT",max-age=600,image/avif,,147,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,High,High,2179,0,100,-1,0,100,100,-1.00,-1.00,-1.00,,,0,13970,567.00,Fastly,1312,175,0,0,"1,806.00","1,313.00","1,741.00","1,741.00","1,806.00",65.00,"1,313.00","1,806.00",493.00,2,3,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,5,3,220,1,,,,,443,
875313,2,0,Step_1,3,26266.6,185.199.111.153,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.css,/biotechproject/Biotech-file/biotech.min.css,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Stylesheet,629.00,483.00,"1,324.00","1,324.00",8274,8274,37019,"Fri, 03 Apr 2026 20:32:21 GMT",max-age=600,text/css,gzip,147,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,Lowest,Lowest,2008,0,100,100,0,100,-1,-1.00,-1.00,-1.00,8274,0,,,567.00,Fastly,1322,188,0,0,"1,953.00","1,324.00","1,807.00","1,807.00","1,953.00",146.00,"1,324.00","1,953.00",629.00,3,4,,,,,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,7,11,110,1,,,,,443,
875313,2,0,Step_1,3,26266.15,185.199.111.153,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech.min.js,/biotechproject/Biotech-file/biotech.min.js,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Script,687.00,619.00,"1,335.00","1,335.00",8925,8925,27950,"Fri, 03 Apr 2026 20:32:21 GMT",max-age=600,application/javascript,gzip,147,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,Low,Low,1912,0,100,100,0,100,-1,-1.00,-1.00,-1.00,8925,0,,,567.00,Fastly,1331,194,0,0,"2,022.00","1,335.00","1,954.00","1,954.00","2,022.00",68.00,"1,335.00","2,022.00",687.00,4,5,9,7,580,596.00,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,9,5,147,1,,,,,443,
875313,2,0,Step_1,3,26266.16,185.199.111.153,https://gitechnolo.github.io/biotechproject/Biotech-file/biotech-engine.min.js,/biotechproject/Biotech-file/biotech-engine.min.js,,1,GET,gitechnolo.github.io,F9A29597F056088BF1D203EB84C6CD45,200,Script,740.00,688.00,"1,335.00","1,335.00",10561,10561,27676,"Fri, 03 Apr 2026 20:32:21 GMT",max-age=600,application/javascript,gzip,147,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://gitechnolo.github.io/biotechproject/index.html,0,,,parser,Low,Low,1933,0,100,100,0,100,-1,-1.00,-1.00,-1.00,10561,0,,,567.00,Fastly,1332,200,0,0,"2,075.00","1,335.00","2,023.00","2,023.00","2,075.00",52.00,"1,335.00","2,075.00",740.00,5,6,4,2,39,44.00,non_blocking,https://gitechnolo.github.io <https://gitechnolo.github.io same_site>,11,9,147,1,,,,,443,
